epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,22.7092,1.68313,2.25103,1.8545,0.35824,0.32353,0.23009,0.0639,2.61734,2.50118,3.18398,0.000663537,0.000663537,0.000663537
2,42.9599,1.75356,2.07487,1.95371,0.43218,0.45098,0.36901,0.12336,2.09251,2.41145,2.56364,0.00131703,0.00131703,0.00131703
3,62.7985,1.77505,2.04148,1.97079,0.41552,0.39412,0.32986,0.12125,2.14035,2.44376,2.54021,0.00195733,0.00195733,0.00195733
4,82.3103,1.7416,1.99599,1.93817,0.46504,0.45294,0.402,0.16,2.04593,2.03301,2.34975,0.0019406,0.0019406,0.0019406
5,101.972,1.68651,1.88353,1.88341,0.61276,0.48431,0.51719,0.21333,2.05189,1.85482,2.36728,0.0019208,0.0019208,0.0019208
6,121.476,1.67047,1.84146,1.85884,0.70693,0.52745,0.58718,0.25235,1.96458,1.68861,2.29949,0.001901,0.001901,0.001901
7,141.107,1.6188,1.77456,1.83287,0.61267,0.53922,0.54633,0.23946,1.99042,1.92503,2.27786,0.0018812,0.0018812,0.0018812
8,160.602,1.59745,1.71736,1.80723,0.5879,0.51469,0.52832,0.19464,2.11167,1.72027,2.38751,0.0018614,0.0018614,0.0018614
9,180.274,1.58975,1.6891,1.79165,0.71008,0.62157,0.67069,0.30992,1.86831,1.40338,2.1902,0.0018416,0.0018416,0.0018416
10,200.109,1.56364,1.6488,1.77665,0.62865,0.59608,0.62221,0.29122,1.87062,1.48854,2.20188,0.0018218,0.0018218,0.0018218
11,219.797,1.54804,1.57264,1.75287,0.70621,0.59608,0.66363,0.30277,1.83815,1.43341,2.10953,0.001802,0.001802,0.001802
12,239.562,1.51903,1.55266,1.73545,0.68768,0.61306,0.67078,0.32345,1.87673,1.43533,2.15783,0.0017822,0.0017822,0.0017822
13,259.17,1.50342,1.54489,1.72628,0.73874,0.56667,0.65511,0.30748,1.98876,1.46687,2.27356,0.0017624,0.0017624,0.0017624
14,278.966,1.50044,1.51089,1.7178,0.66492,0.61961,0.65784,0.29665,1.86496,1.46883,2.18896,0.0017426,0.0017426,0.0017426
15,298.452,1.4893,1.48604,1.71075,0.73358,0.60588,0.65959,0.30283,1.80585,1.42495,2.18753,0.0017228,0.0017228,0.0017228
16,318.178,1.48241,1.46066,1.69637,0.75789,0.60196,0.70088,0.32927,1.88703,1.30302,2.18157,0.001703,0.001703,0.001703
17,337.94,1.45793,1.4315,1.68471,0.78381,0.6451,0.75186,0.37362,1.69167,1.26868,2.01352,0.0016832,0.0016832,0.0016832
18,357.682,1.45019,1.40233,1.66885,0.77747,0.6451,0.71382,0.32729,1.80683,1.34324,2.07102,0.0016634,0.0016634,0.0016634
19,377.436,1.43643,1.36707,1.66043,0.80444,0.64706,0.73346,0.37058,1.81323,1.31097,2.09287,0.0016436,0.0016436,0.0016436
20,397.186,1.4278,1.35103,1.6576,0.804,0.65294,0.73633,0.38018,1.75577,1.24395,2.10816,0.0016238,0.0016238,0.0016238
21,416.589,1.4218,1.33655,1.64896,0.76994,0.64314,0.72676,0.3859,1.65612,1.2356,1.92204,0.001604,0.001604,0.001604
22,436.082,1.41208,1.31846,1.63965,0.81238,0.66471,0.76782,0.39354,1.67661,1.21133,1.96454,0.0015842,0.0015842,0.0015842
23,455.54,1.39961,1.31833,1.62067,0.78214,0.68985,0.7594,0.39356,1.65781,1.1996,1.97275,0.0015644,0.0015644,0.0015644
24,475.432,1.39197,1.26681,1.6164,0.80109,0.68824,0.76714,0.39448,1.58483,1.17641,1.91592,0.0015446,0.0015446,0.0015446
25,494.949,1.37262,1.25955,1.60179,0.78515,0.70937,0.76831,0.39806,1.73708,1.20354,2.00023,0.0015248,0.0015248,0.0015248
26,515.145,1.36691,1.24689,1.60087,0.81922,0.68235,0.77605,0.4058,1.75741,1.13198,2.01866,0.001505,0.001505,0.001505
27,534.652,1.36887,1.23331,1.60001,0.75544,0.72353,0.78066,0.39877,1.66339,1.17741,1.94838,0.0014852,0.0014852,0.0014852
28,554.388,1.36789,1.20291,1.58934,0.77458,0.65882,0.71778,0.35666,1.82774,1.16237,2.11156,0.0014654,0.0014654,0.0014654
29,574.061,1.34203,1.1722,1.57494,0.84268,0.7098,0.8039,0.42088,1.66578,1.09588,1.95966,0.0014456,0.0014456,0.0014456
30,593.758,1.3269,1.18538,1.57041,0.80997,0.71569,0.79486,0.41602,1.6658,1.05634,1.97069,0.0014258,0.0014258,0.0014258
31,613.381,1.33298,1.18945,1.56705,0.78265,0.67782,0.75979,0.39761,1.70022,1.18944,1.96394,0.001406,0.001406,0.001406
32,632.822,1.33096,1.1845,1.57746,0.83897,0.67426,0.79647,0.43713,1.61531,1.04191,1.89956,0.0013862,0.0013862,0.0013862
33,652.58,1.33318,1.16658,1.56977,0.80618,0.73402,0.80637,0.43196,1.65619,1.04899,1.92807,0.0013664,0.0013664,0.0013664
34,672.052,1.31538,1.13613,1.55034,0.76329,0.67843,0.75687,0.40116,1.6728,1.1118,1.93676,0.0013466,0.0013466,0.0013466
35,692.156,1.30807,1.12833,1.54651,0.80458,0.75885,0.81722,0.43173,1.59263,1.02595,1.87556,0.0013268,0.0013268,0.0013268
36,711.734,1.31674,1.10334,1.55819,0.80646,0.72745,0.79079,0.4259,1.76506,1.09052,2.07586,0.001307,0.001307,0.001307
37,731.305,1.30202,1.09775,1.53987,0.78054,0.73529,0.79508,0.44335,1.59646,1.00863,1.86295,0.0012872,0.0012872,0.0012872
38,750.895,1.2783,1.06847,1.51858,0.81059,0.73333,0.80225,0.44916,1.53095,0.99223,1.84196,0.0012674,0.0012674,0.0012674
39,770.585,1.27299,1.06299,1.5196,0.8399,0.7549,0.83364,0.4449,1.64298,0.96629,1.90726,0.0012476,0.0012476,0.0012476
40,790.333,1.27584,1.07476,1.51315,0.81955,0.72549,0.80173,0.43606,1.6434,1.03403,1.89923,0.0012278,0.0012278,0.0012278
41,809.901,1.25549,1.03675,1.50771,0.78295,0.76667,0.81359,0.43191,1.59705,1.03203,1.88128,0.001208,0.001208,0.001208
42,829.746,1.25964,1.06934,1.50929,0.83671,0.69804,0.80288,0.41487,1.64531,1.00967,1.91237,0.0011882,0.0011882,0.0011882
43,849.267,1.2426,1.04299,1.494,0.7835,0.79216,0.81321,0.43288,1.60118,0.96681,1.89116,0.0011684,0.0011684,0.0011684
