epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.5446,1.66249,2.61574,1.89066,0.32878,0.27084,0.22449,0.07534,1.40801,14.868,1.71108,0.00066485,0.00066485,0.00066485
2,75.9896,1.83163,2.35765,2.03824,0.24583,0.3,0.15556,0.05653,1.58308,2.71701,1.77662,0.00131833,0.00131833,0.00131833
3,111.018,1.83608,2.27703,2.04021,0.30642,0.35098,0.27608,0.08812,1.58101,10.0071,1.78039,0.00195862,0.00195862,0.00195862
4,145.596,1.78586,2.2093,2.00083,0.54984,0.43333,0.45367,0.16866,1.36736,3.01291,1.58444,0.0019406,0.0019406,0.0019406
5,179.958,1.71959,2.09721,1.92987,0.56095,0.44902,0.47317,0.20113,1.34213,3.69382,1.60036,0.0019208,0.0019208,0.0019208
6,214.654,1.71016,2.04633,1.91908,0.62356,0.48394,0.53936,0.22371,1.34652,2.65188,1.60495,0.001901,0.001901,0.001901
7,249.299,1.66209,1.9281,1.87041,0.5988,0.47451,0.52663,0.2258,1.28701,2.11994,1.46653,0.0018812,0.0018812,0.0018812
8,283.636,1.6522,1.91445,1.85642,0.66402,0.47664,0.57377,0.269,1.21558,2.71446,1.39484,0.0018614,0.0018614,0.0018614
9,317.799,1.61641,1.85378,1.83051,0.638,0.50588,0.55843,0.24215,1.24435,3.17804,1.43216,0.0018416,0.0018416,0.0018416
10,352.23,1.60402,1.80248,1.82441,0.65715,0.52617,0.58855,0.26169,1.23763,1.89608,1.43173,0.0018218,0.0018218,0.0018218
11,386.642,1.59496,1.77378,1.81097,0.71803,0.52157,0.58922,0.27103,1.21976,2.32038,1.399,0.001802,0.001802,0.001802
12,421.09,1.56631,1.74348,1.79159,0.68761,0.55294,0.60182,0.28142,1.26125,2.45831,1.4635,0.0017822,0.0017822,0.0017822
13,455.895,1.55649,1.72151,1.77623,0.69299,0.51765,0.58346,0.26086,1.24713,2.03008,1.4183,0.0017624,0.0017624,0.0017624
14,490.311,1.54199,1.68962,1.76541,0.68205,0.52998,0.60027,0.28082,1.19171,2.44112,1.37205,0.0017426,0.0017426,0.0017426
15,524.775,1.52589,1.65059,1.74808,0.70882,0.54891,0.60927,0.28097,1.27079,1.53234,1.42206,0.0017228,0.0017228,0.0017228
16,559.134,1.51124,1.60422,1.73571,0.68275,0.63137,0.66667,0.32748,1.16494,1.98625,1.33556,0.001703,0.001703,0.001703
17,593.27,1.50793,1.57551,1.73293,0.74803,0.53725,0.63009,0.28875,1.2276,2.6106,1.39387,0.0016832,0.0016832,0.0016832
18,627.804,1.48353,1.57788,1.70894,0.63382,0.54302,0.57887,0.27562,1.21146,3.69359,1.44617,0.0016634,0.0016634,0.0016634
19,662.511,1.49691,1.55509,1.71101,0.75819,0.60866,0.68734,0.32555,1.20521,1.30048,1.37429,0.0016436,0.0016436,0.0016436
20,696.933,1.46203,1.50262,1.68123,0.69868,0.64314,0.69321,0.34482,1.14818,1.40373,1.32825,0.0016238,0.0016238,0.0016238
21,731.173,1.46849,1.4735,1.68957,0.69026,0.64672,0.68702,0.33813,1.14679,1.64335,1.31892,0.001604,0.001604,0.001604
22,765.303,1.46812,1.47045,1.69119,0.7826,0.67057,0.74522,0.35617,1.17353,1.06059,1.31531,0.0015842,0.0015842,0.0015842
23,800.05,1.45785,1.47106,1.68141,0.76054,0.66471,0.73,0.35246,1.16196,1.37355,1.33092,0.0015644,0.0015644,0.0015644
24,834.351,1.43642,1.40673,1.66448,0.74178,0.66465,0.73884,0.37528,1.13721,1.12864,1.29007,0.0015446,0.0015446,0.0015446
25,869.017,1.4287,1.40579,1.65265,0.7727,0.65294,0.72777,0.37041,1.10046,1.32082,1.26903,0.0015248,0.0015248,0.0015248
26,903.496,1.4185,1.40277,1.65708,0.77529,0.65098,0.73131,0.36889,1.11275,1.02184,1.26357,0.001505,0.001505,0.001505
27,938.149,1.4109,1.40542,1.64808,0.80429,0.68495,0.75606,0.38674,1.11245,1.49765,1.26059,0.0014852,0.0014852,0.0014852
28,972.302,1.41051,1.40443,1.64819,0.69075,0.61752,0.6758,0.34197,1.09676,1.74832,1.25521,0.0014654,0.0014654,0.0014654
29,1006.4,1.38812,1.34174,1.62844,0.76068,0.68824,0.76334,0.39537,1.08798,1.2821,1.24787,0.0014456,0.0014456,0.0014456
30,1040.86,1.38814,1.32531,1.62421,0.77674,0.65686,0.73591,0.37604,1.0819,1.24298,1.23667,0.0014258,0.0014258,0.0014258
31,1075.61,1.37568,1.28671,1.61257,0.81775,0.72145,0.7983,0.4197,1.05618,1.67868,1.22314,0.001406,0.001406,0.001406
32,1109.86,1.38149,1.31325,1.61523,0.87561,0.64314,0.78647,0.40969,1.06596,1.19885,1.23261,0.0013862,0.0013862,0.0013862
33,1144.17,1.37109,1.2857,1.60085,0.79715,0.73973,0.79656,0.41166,1.08639,1.12309,1.25534,0.0013664,0.0013664,0.0013664
34,1178.26,1.35646,1.25187,1.59916,0.80326,0.65645,0.75264,0.37338,1.08628,2.79531,1.25684,0.0013466,0.0013466,0.0013466
35,1212.93,1.34996,1.23511,1.58512,0.74196,0.66667,0.73882,0.38275,1.07326,1.42873,1.23955,0.0013268,0.0013268,0.0013268
36,1247.32,1.34981,1.22789,1.58052,0.80848,0.71185,0.79045,0.40737,1.05637,1.06273,1.21499,0.001307,0.001307,0.001307
37,1282.12,1.34213,1.23833,1.58817,0.79789,0.75859,0.81074,0.41994,1.05082,1.4157,1.22136,0.0012872,0.0012872,0.0012872
